device_id,rssi,snr,sf,inter_arrival_time,fcnt,label,attack_type
Dev_004,-91.36322271983732,4.7204283670827625,9,40.263421727570226,13369,0,Normal
Dev_002,-93.74876025046025,5.088458692723134,9,9.66290972303801,14149,0,Normal
Dev_004,-90.05501029416217,7.138245242855437,9,10.637553835750456,3517,0,Normal
Dev_003,-98.56376797036022,5.8746137791981745,9,44.50965198724214,13532,0,Normal
Dev_002,-95.47884776417285,2.032962695532501,10,1.3641056203857067,36,1,Replay Attack
Dev_004,-97.64848914325708,2.9319371063954893,7,46.78267815424832,13487,0,Normal
Dev_001,-92.15101509954141,6.827444127636967,8,7.719695621526374,14818,0,Normal
Dev_005,-79.69263421808384,11.18671570052244,7,6.05921083229587,14276,0,Normal
Dev_004,-115.73322808045268,-3.2368865972171346,8,25.321873966648518,10720,0,Normal
Dev_002,-81.03436806135105,6.996137155148095,7,20.819061946797934,8866,0,Normal
Dev_001,-82.31132371677216,8.353552010809295,8,30.321926687173004,4899,0,Normal
Dev_003,-95.63506441321195,7.248808523897631,8,14.464919177322392,7460,0,Normal
Dev_003,-81.62767247073639,12.36447637283537,8,64.43484086314493,7995,0,Normal
Dev_002,-93.0962733483716,5.940849800480461,10,24.069633777273477,2950,0,Normal
Dev_005,-87.94638547957146,5.2741640262697755,7,47.41559828064387,3624,0,Normal
Dev_003,-66.1893440328343,-11.51019283532785,11,42.804695200522744,4851,1,Distance Spoofing
Dev_004,-86.50475383669377,10.090030785929265,9,39.9533103593491,26,0,Normal
Dev_001,-97.25774016694002,5.661028211477904,9,21.637307583358407,308,0,Normal
Dev_001,-81.18486126767482,6.443878553475627,9,27.100007706526092,11132,0,Normal
Dev_005,-86.72747064181124,7.040395413878104,8,12.478378193547206,12196,0,Normal
Dev_005,-88.46892517809127,8.81606369060846,7,1.4352890130933824,11446,0,Normal
Dev_002,-83.56372994483574,6.8575257388722335,9,62.27656782046417,443,0,Normal
Dev_001,-82.089190957379,9.790822170548493,7,20.50552450086831,14167,0,Normal
Dev_003,-103.96959132785328,1.6260110411650048,8,116.8476687427381,3439,0,Normal
Dev_004,-79.93423400803013,11.27286084441424,7,34.381674482210286,7312,0,Normal
Dev_003,-91.90459822404742,3.2248773334093994,8,2.434524899706112,2635,0,Normal
Dev_003,-59.92074463325503,-8.665274688159403,12,12.139810417183217,4144,1,Distance Spoofing
Dev_002,-85.65958339416323,8.07395850435657,8,15.149694169532408,57,1,Replay Attack
Dev_002,-81.03133851695273,9.493028106150227,10,5.583313910382947,121,1,Replay Attack
Dev_001,-91.9676637407838,5.802648919894974,8,2.138034173864363,5162,0,Normal
Dev_002,-85.23798645062881,7.385614544915429,8,19.045930415333444,13944,0,Normal
Dev_002,-83.3444904853074,9.606797296093214,8,48.12758602243623,14987,0,Normal
Dev_005,-99.40832037323965,2.0811842610625,9,6.205745213868732,2983,0,Normal
Dev_003,-90.03771761825084,6.45818447343713,8,9.692072632664999,6509,0,Normal
Dev_002,-99.32333963619972,1.7486910645924825,7,16.80812728885926,2760,0,Normal
Dev_005,-91.24907395151364,9.066341625227912,9,3.352451546378922,5053,0,Normal
Dev_005,-81.8332330817828,6.545245303209738,7,5.026082050755665,12305,0,Normal
Dev_005,-75.41702852169144,10.01064586967846,7,40.669004344741026,2026,0,Normal
Dev_001,-107.66168918989516,-16.937235029959073,12,0.019132157938870874,27909,1,Jamming DoS
